name,2015
Lithuania,34.9
Russian Federation,32.1
Guyana,29.1
"Korea, Rep.",28.3
Belarus,26.3
Kazakhstan,24.9
Suriname,23.8
Ukraine,23.1
Latvia,21.6
Slovenia,21.0
