sex,year,suicides_100k
male,5-14,0.7822727272727273
female,5-14,0.5154545454545455
male,15-24,11.990113636363638
female,15-24,3.9573863636363638
male,25-34,17.642613636363635
female,25-34,4.0190909090909095
male,35-54,22.082954545454548
female,35-54,5.17034090909091
male,55-74,21.967272727272725
female,55-74,5.724772727272727
male,75+,33.688863636363635
female,75+,7.049659090909089
