sovereignt,year,sex,age,population,suicides_100k,gdp_per_capita,generation
Saint Vincent and Grenadines,2010,female,25-34,8656,0.0,6809,Generation X
Saint Vincent and Grenadines,2010,female,35-54,13330,0.0,6809,Generation X
Saint Vincent and Grenadines,2010,female,5-14,9754,0.0,6809,Generation Z
Saint Vincent and Grenadines,2010,female,55-74,5951,0.0,6809,Silent
Saint Vincent and Grenadines,2010,female,75+,1741,0.0,6809,Silent
Saint Vincent and Grenadines,2010,male,15-24,10289,0.0,6809,Millenials
Saint Vincent and Grenadines,2010,male,35-54,14386,0.0,6809,Generation X
Saint Vincent and Grenadines,2010,male,55-74,5730,0.0,6809,Silent
Saint Vincent and Grenadines,2010,male,75+,1221,0.0,6809,Silent
Serbia,2010,male,75+,218129,93.52,5682,Silent
Serbia,2010,male,55-74,802176,42.51,5682,Silent
Serbia,2010,female,75+,330923,26.59,5682,Silent
Serbia,2010,male,35-54,982567,25.65,5682,Generation X
Serbia,2010,male,25-34,520649,14.79,5682,Generation X
Serbia,2010,female,55-74,929555,13.77,5682,Silent
Serbia,2010,male,15-24,456237,6.36,5682,Millenials
Serbia,2010,female,35-54,1008522,6.35,5682,Generation X
Serbia,2010,female,25-34,505753,3.56,5682,Generation X
Serbia,2010,female,15-24,434665,1.38,5682,Millenials
Serbia,2010,female,5-14,367970,0.0,5682,Generation Z
Serbia,2010,male,5-14,387725,0.0,5682,Generation Z
Seychelles,2010,male,35-54,14068,28.43,11563,Generation X
Seychelles,2010,male,25-34,8490,23.56,11563,Generation X
Seychelles,2010,female,15-24,6988,0.0,11563,Millenials
Seychelles,2010,female,25-34,7012,0.0,11563,Generation X
Seychelles,2010,female,35-54,13106,0.0,11563,Generation X
Seychelles,2010,female,5-14,6498,0.0,11563,Generation Z
Seychelles,2010,female,55-74,5031,0.0,11563,Silent
Seychelles,2010,female,75+,1961,0.0,11563,Silent
Seychelles,2010,male,15-24,8078,0.0,11563,Millenials
Seychelles,2010,male,5-14,6811,0.0,11563,Generation Z
Seychelles,2010,male,55-74,4827,0.0,11563,Silent
Seychelles,2010,male,75+,1015,0.0,11563,Silent
Singapore,2010,male,75+,53300,50.66,66099,Silent
Singapore,2010,male,55-74,315800,15.2,66099,Silent
Singapore,2010,male,35-54,625200,15.04,66099,Generation X
Singapore,2010,female,75+,80900,14.83,66099,Silent
Singapore,2010,female,55-74,329000,8.51,66099,Silent
Singapore,2010,male,25-34,274300,7.29,66099,Generation X
Singapore,2010,female,35-54,630600,5.39,66099,Generation X
Singapore,2010,female,15-24,252900,5.14,66099,Millenials
Singapore,2010,female,25-34,296900,4.04,66099,Generation X
Singapore,2010,male,15-24,257900,2.71,66099,Millenials
Singapore,2010,male,5-14,235500,0.42,66099,Generation Z
Singapore,2010,female,5-14,224500,0.0,66099,Generation Z
Slovakia,2010,male,75+,94140,35.05,17387,Silent
Slovakia,2010,male,35-54,779236,30.67,17387,Generation X
Slovakia,2010,male,55-74,472869,30.66,17387,Silent
Slovakia,2010,male,25-34,472324,16.09,17387,Generation X
Slovakia,2010,male,15-24,395147,10.63,17387,Millenials
Slovakia,2010,female,75+,192666,5.71,17387,Silent
Slovakia,2010,female,35-54,776865,5.02,17387,Generation X
Slovakia,2010,female,55-74,585761,4.44,17387,Silent
Slovakia,2010,female,15-24,378865,1.85,17387,Millenials
Slovakia,2010,female,25-34,451905,1.77,17387,Generation X
Slovakia,2010,male,5-14,280990,1.42,17387,Generation Z
Slovakia,2010,female,5-14,266794,0.37,17387,Generation Z
Slovenia,2010,male,75+,50887,96.29,24689,Silent
Slovenia,2010,male,55-74,217743,49.14,24689,Silent
Slovenia,2010,male,35-54,315209,38.39,24689,Generation X
Slovenia,2010,male,15-24,121143,20.64,24689,Millenials
Slovenia,2010,male,25-34,161002,19.88,24689,Generation X
Slovenia,2010,female,55-74,234322,14.94,24689,Silent
Slovenia,2010,female,75+,104453,11.49,24689,Silent
Slovenia,2010,female,35-54,297867,8.39,24689,Generation X
Slovenia,2010,female,25-34,145274,3.44,24689,Generation X
Slovenia,2010,male,5-14,95051,2.1,24689,Generation Z
Slovenia,2010,female,15-24,112313,0.89,24689,Millenials
Slovenia,2010,female,5-14,89510,0.0,24689,Generation Z
South Africa,2010,male,75+,250341,3.6,8128,Silent
South Africa,2010,male,25-34,4588964,2.31,8128,Generation X
South Africa,2010,male,55-74,2069020,1.69,8128,Silent
South Africa,2010,male,35-54,5336625,1.59,8128,Generation X
South Africa,2010,male,15-24,5175095,1.08,8128,Millenials
South Africa,2010,female,75+,516647,0.77,8128,Silent
South Africa,2010,female,15-24,5099408,0.63,8128,Millenials
South Africa,2010,female,35-54,5795087,0.48,8128,Generation X
South Africa,2010,female,25-34,4402203,0.45,8128,Generation X
South Africa,2010,female,55-74,2654031,0.3,8128,Silent
South Africa,2010,male,5-14,5179048,0.15,8128,Generation Z
South Africa,2010,female,5-14,5109731,0.04,8128,Generation Z
Spain,2010,male,75+,1554056,31.4,32839,Silent
Spain,2010,male,55-74,4217377,15.06,32839,Silent
Spain,2010,male,35-54,7176013,13.53,32839,Generation X
Spain,2010,male,25-34,3734261,7.28,32839,Generation X
Spain,2010,female,75+,2436769,4.92,32839,Silent
Spain,2010,female,55-74,4648706,4.45,32839,Silent
Spain,2010,male,15-24,2455458,4.03,32839,Millenials
Spain,2010,female,35-54,7026589,4.0,32839,Generation X
Spain,2010,female,25-34,3550860,1.66,32839,Generation X
Spain,2010,female,15-24,2348349,0.98,32839,Millenials
Spain,2010,male,5-14,2285012,0.13,32839,Generation Z
Spain,2010,female,5-14,2161906,0.0,32839,Generation Z
Suriname,2010,male,75+,4994,100.12,9176,Silent
Suriname,2010,female,75+,6758,59.19,9176,Silent
Suriname,2010,male,35-54,68450,58.44,9176,Generation X
Suriname,2010,male,25-34,39368,48.26,9176,Generation X
Suriname,2010,male,55-74,25526,39.18,9176,Silent
Suriname,2010,male,15-24,48112,37.41,9176,Millenials
Suriname,2010,female,15-24,45832,21.82,9176,Millenials
Suriname,2010,female,35-54,67102,20.86,9176,Generation X
Suriname,2010,female,25-34,38855,18.02,9176,Generation X
Suriname,2010,female,55-74,30084,9.97,9176,Silent
Suriname,2010,female,5-14,48769,8.2,9176,Generation Z
Suriname,2010,male,5-14,52202,3.83,9176,Generation Z
Sweden,2010,male,75+,318979,31.66,55352,Silent
Sweden,2010,male,55-74,1044678,25.18,55352,Silent
Sweden,2010,male,35-54,1273933,21.98,55352,Generation X
Sweden,2010,male,25-34,593020,17.87,55352,Generation X
Sweden,2010,male,15-24,639346,13.61,55352,Millenials
Sweden,2010,female,55-74,1063334,9.87,55352,Silent
Sweden,2010,female,35-54,1234672,8.1,55352,Generation X
Sweden,2010,female,75+,480218,7.08,55352,Silent
Sweden,2010,female,25-34,564791,5.49,55352,Generation X
Sweden,2010,female,15-24,607958,5.1,55352,Millenials
Sweden,2010,female,5-14,487899,0.41,55352,Generation Z
Sweden,2010,male,5-14,514297,0.19,55352,Generation Z
Switzerland,2010,male,75+,239990,47.5,78474,Silent
Switzerland,2010,male,55-74,796644,27.62,78474,Silent
Switzerland,2010,male,35-54,1213413,22.0,78474,Generation X
Switzerland,2010,male,25-34,519177,14.25,78474,Generation X
Switzerland,2010,female,55-74,840601,11.42,78474,Silent
Switzerland,2010,male,15-24,472649,9.94,78474,Millenials
Switzerland,2010,female,75+,391055,9.21,78474,Silent
Switzerland,2010,female,35-54,1193316,8.63,78474,Generation X
Switzerland,2010,female,25-34,519835,6.16,78474,Generation X
Switzerland,2010,female,15-24,455057,3.3,78474,Millenials
Switzerland,2010,male,5-14,410594,0.49,78474,Generation Z
Switzerland,2010,female,5-14,386816,0.0,78474,Generation Z
Thailand,2010,male,75+,787665,18.41,5707,Silent
Thailand,2010,male,25-34,5293421,13.0,5707,Generation X
Thailand,2010,male,55-74,4075634,12.54,5707,Silent
Thailand,2010,male,35-54,9786527,11.91,5707,Generation X
Thailand,2010,male,15-24,4905031,7.89,5707,Millenials
Thailand,2010,female,75+,1146473,3.58,5707,Silent
Thailand,2010,female,55-74,4724470,3.47,5707,Silent
Thailand,2010,female,35-54,10369541,3.33,5707,Generation X
Thailand,2010,female,25-34,5237458,3.13,5707,Generation X
Thailand,2010,female,15-24,4702548,2.55,5707,Millenials
Thailand,2010,male,5-14,4496770,0.36,5707,Generation Z
Thailand,2010,female,5-14,4244226,0.33,5707,Generation Z
Trinidad and Tobago,2010,male,25-34,116664,32.57,18000,Generation X
Trinidad and Tobago,2010,male,75+,14639,27.32,18000,Silent
Trinidad and Tobago,2010,male,35-54,181184,26.49,18000,Generation X
Trinidad and Tobago,2010,male,55-74,94335,22.26,18000,Silent
Trinidad and Tobago,2010,male,15-24,110950,15.32,18000,Millenials
Trinidad and Tobago,2010,female,15-24,108605,8.29,18000,Millenials
Trinidad and Tobago,2010,female,25-34,116210,7.74,18000,Generation X
Trinidad and Tobago,2010,female,35-54,183641,4.36,18000,Generation X
Trinidad and Tobago,2010,female,55-74,102440,3.9,18000,Silent
Trinidad and Tobago,2010,female,5-14,87897,1.14,18000,Generation Z
Trinidad and Tobago,2010,male,5-14,90237,1.11,18000,Generation Z
Trinidad and Tobago,2010,female,75+,24200,0.0,18000,Silent
Turkey,2010,male,75+,841083,7.49,11525,Silent
Turkey,2010,male,35-54,9318882,4.26,11525,Generation X
Turkey,2010,male,55-74,4131848,4.24,11525,Silent
Turkey,2010,male,25-34,6363299,3.9,11525,Generation X
Turkey,2010,male,15-24,6411111,3.71,11525,Millenials
Turkey,2010,female,75+,1226764,2.28,11525,Silent
Turkey,2010,female,15-24,6118805,1.55,11525,Millenials
Turkey,2010,female,55-74,4537405,1.26,11525,Silent
Turkey,2010,female,35-54,9153406,1.2,11525,Generation X
Turkey,2010,female,25-34,6170592,0.99,11525,Generation X
Turkey,2010,male,5-14,6519482,0.41,11525,Generation Z
Turkey,2010,female,5-14,6182454,0.4,11525,Generation Z
Turkmenistan,2010,male,25-34,419805,9.53,4962,Generation X
Turkmenistan,2010,male,15-24,554957,7.57,4962,Millenials
Turkmenistan,2010,male,75+,29510,6.78,4962,Silent
Turkmenistan,2010,male,35-54,559144,6.26,4962,Generation X
Turkmenistan,2010,male,55-74,178934,5.59,4962,Silent
Turkmenistan,2010,female,15-24,547882,4.02,4962,Millenials
Turkmenistan,2010,female,25-34,424446,2.12,4962,Generation X
Turkmenistan,2010,female,35-54,601270,1.5,4962,Generation X
Turkmenistan,2010,female,5-14,477152,1.05,4962,Generation Z
Turkmenistan,2010,female,55-74,217434,0.92,4962,Silent
Turkmenistan,2010,male,5-14,488434,0.41,4962,Generation Z
Turkmenistan,2010,female,75+,52217,0.0,4962,Silent
Ukraine,2010,male,75+,804695,61.51,3141,Silent
Ukraine,2010,male,55-74,3866232,47.26,3141,Silent
Ukraine,2010,male,35-54,6203439,45.99,3141,Generation X
Ukraine,2010,male,25-34,3589324,40.59,3141,Generation X
Ukraine,2010,male,15-24,3271660,25.77,3141,Millenials
Ukraine,2010,female,75+,2016954,15.02,3141,Silent
Ukraine,2010,female,55-74,5860094,8.17,3141,Silent
Ukraine,2010,female,35-54,6928455,6.61,3141,Generation X
Ukraine,2010,female,15-24,3125122,4.93,3141,Millenials
Ukraine,2010,female,25-34,3534635,4.81,3141,Generation X
Ukraine,2010,male,5-14,2102478,1.66,3141,Generation Z
Ukraine,2010,female,5-14,1993721,0.75,3141,Generation Z
United Arab Emirates,2010,male,75+,10567,9.46,36964,Silent
United Arab Emirates,2010,male,55-74,177232,2.82,36964,Silent
United Arab Emirates,2010,female,25-34,587552,2.38,36964,Generation X
United Arab Emirates,2010,female,55-74,55621,1.8,36964,Silent
United Arab Emirates,2010,male,25-34,2271630,1.72,36964,Generation X
United Arab Emirates,2010,female,15-24,385198,1.56,36964,Millenials
United Arab Emirates,2010,male,35-54,2405804,1.41,36964,Generation X
United Arab Emirates,2010,male,15-24,730245,1.37,36964,Millenials
United Arab Emirates,2010,female,35-54,533458,0.19,36964,Generation X
United Arab Emirates,2010,female,5-14,329210,0.0,36964,Generation Z
United Arab Emirates,2010,female,75+,6996,0.0,36964,Silent
United Arab Emirates,2010,male,5-14,346223,0.0,36964,Generation Z
United Kingdom,2010,male,35-54,8592781,16.8,41798,Generation X
United Kingdom,2010,male,25-34,4128369,12.43,41798,Generation X
United Kingdom,2010,male,75+,1960939,11.58,41798,Silent
United Kingdom,2010,male,55-74,6171080,11.28,41798,Silent
United Kingdom,2010,male,15-24,4225926,8.14,41798,Millenials
United Kingdom,2010,female,35-54,8788212,4.55,41798,Generation X
United Kingdom,2010,female,55-74,6570278,3.53,41798,Silent
United Kingdom,2010,female,25-34,4012797,3.31,41798,Generation X
United Kingdom,2010,female,75+,2944062,3.02,41798,Silent
United Kingdom,2010,female,15-24,3995780,2.65,41798,Millenials
United Kingdom,2010,female,5-14,3426430,0.09,41798,Generation Z
United Kingdom,2010,male,5-14,3586875,0.03,41798,Generation Z
United States,2010,male,75+,7263596,36.03,51989,Silent
United States,2010,male,35-54,42798501,27.49,51989,Generation X
United States,2010,male,55-74,27667895,26.34,51989,Silent
United States,2010,male,25-34,20409866,22.76,51989,Generation X
United States,2010,male,15-24,22463069,16.79,51989,Millenials
United States,2010,female,35-54,42711237,8.44,51989,Generation X
United States,2010,female,55-74,30326595,6.83,51989,Silent
United States,2010,female,25-34,20180858,5.41,51989,Generation X
United States,2010,female,15-24,21395712,3.88,51989,Millenials
United States,2010,female,75+,11163521,3.61,51989,Silent
United States,2010,male,5-14,21207667,0.88,51989,Generation Z
United States,2010,female,5-14,20250632,0.43,51989,Generation Z
Uruguay,2010,male,75+,76869,87.16,12882,Silent
Uruguay,2010,male,55-74,256883,41.26,12882,Silent
Uruguay,2010,male,25-34,236974,32.49,12882,Generation X
Uruguay,2010,male,15-24,262585,26.28,12882,Millenials
Uruguay,2010,male,35-54,406214,24.86,12882,Generation X
Uruguay,2010,female,55-74,308647,13.61,12882,Silent
Uruguay,2010,female,75+,150385,9.31,12882,Silent
Uruguay,2010,female,35-54,427551,8.89,12882,Generation X
Uruguay,2010,female,25-34,235276,7.65,12882,Generation X
Uruguay,2010,female,15-24,253651,4.34,12882,Millenials
Uruguay,2010,female,5-14,251005,1.2,12882,Generation Z
Uruguay,2010,male,5-14,261266,0.38,12882,Generation Z
Uzbekistan,2010,male,35-54,3142694,11.81,1533,Generation X
Uzbekistan,2010,male,25-34,2375259,9.89,1533,Generation X
Uzbekistan,2010,male,55-74,1036963,9.84,1533,Silent
Uzbekistan,2010,male,15-24,3208299,7.67,1533,Millenials
Uzbekistan,2010,female,15-24,3098743,6.71,1533,Millenials
Uzbekistan,2010,male,75+,196160,4.59,1533,Silent
Uzbekistan,2010,female,25-34,2391172,3.89,1533,Generation X
Uzbekistan,2010,female,35-54,3339076,3.02,1533,Generation X
Uzbekistan,2010,male,5-14,2751752,1.74,1533,Generation Z
Uzbekistan,2010,female,75+,322899,1.55,1533,Silent
Uzbekistan,2010,female,55-74,1161422,1.38,1533,Silent
Uzbekistan,2010,female,5-14,2627344,1.14,1533,Generation Z
